year,iso,apd_eur,napd_eur
2013,PHL,8823000000.00,1409000000.00
2013,PNG,164000000.00,0.00
2013,POL,32000000.00,1516000000.00
2013,ROU,608000000.00,206000000.00
2013,RUS,0.00,0.00
2013,SDN,863000000.00,3520000000.00
2013,SEN,471000000.00,102000000.00
2013,SLE,0.00,0.00
2013,SLV,478000000.00,3000000.00
2013,SOM,435000000.00,1128000000.00
2013,SRB,368000000.00,2235000000.00
2013,STP,1000000.00,22000000.00
2013,SUR,50000000.00,0.00
2013,SYC,60000000.00,30000000.00
2013,TCD,4000000.00,57000000.00
2013,TGO,0.00,14000000.00
2013,TJK,43000000.00,332000000.00
2013,TTO,0.00,142000000.00
2013,TUR,4585000000.00,3217000000.00
2013,TZA,245000000.00,18000000.00
2013,UKR,203000000.00,1015000000.00
2013,VCT,9000000.00,0.00
2013,VNM,12404000000.00,1079000000.00
2013,WSM,26600000.00,0.00
2013,YEM,439000000.00,1172000000.00
2013,ZMB,13000000.00,0.00
2014,AFG,0.00,1158200000.00
2014,AGO,121726812.60,648932041.00
2014,ALB,476969292.80,29009136.31
2014,ARG,781437150.02,5692662936.34
2014,ATG,4340802.08,95107358.75
2014,BDI,0.00,0.00
2014,BEN,6078685.97,21841776.68
2014,BFA,103356913.61,0.00
2014,BGR,209558560.00,156954173.00
2014,BIH,202968366.77,443947129.71
2014,BOL,74533256.37,1764416.00
2014,BRA,1919500970.78,854607639.75
2014,CAF,0.00,2287606.67
2014,CHL,109245688.15,0.00
2014,CIV,534199970.93,9449764.81
2014,CMR,247721564.54,18146611.81
2014,COD,22190236.57,87429825.39
2014,COG,33500799.94,190500518.21
2014,COM,592972.27,0.00
2014,CPV,83070481.87,40333477.90
2014,CRI,177660059.59,0.00
2014,DJI,64642167.75,29209084.33
2014,DMA,34213303.41,10172889.28
2014,DOM,505851757.83,149359159.13
2014,DZA,752258146.68,5998590.19
2014,ECU,344101009.51,347574837.09
2014,EGY,8321803856.77,2100084297.30
2014,ETH,289331679.29,162832320.00
2014,FJI,8600000.00,0.00
2014,GAB,210830407.86,70225857.71
2014,GEO,385442892.00,95480800.00
2014,GHA,663700681.38,473315937.22
2014,GIN,63357046.07,216083151.66
2014,GMB,13738501.27,571520.00
2014,GNB,10081734.40,89573600.00
2014,GNQ,0.00,20667373.81
2014,GRD,4501545.81,6085811.85
2014,GTM,212077213.30,0.00
2014,GUY,4545225.60,0.00
2014,HND,168850963.20,2117452.80
2014,HRV,2864646.00,0.00
2014,HTI,0.00,0.00
2014,IDN,19205617714.68,4957869427.21
2014,IRQ,1546934850.00,7086043858.78
2014,JAM,139786593.18,5375374.20
2014,JOR,1600007325.41,99024022.56
2014,KEN,1986146767.03,252224603.80
2014,KGZ,330904960.00,306931200.00
2014,KHM,545415216.84,1401475844.21
2014,KNA,1973819.68,0.00
2014,LBR,0.00,0.00
2014,LCA,7236525.79,0.00
2014,LKA,4058867347.67,190957088.03
2014,LSO,8816000.00,0.00
2014,MAR,4988144657.90,310494960.62
2014,MDA,64710299.00,78798123.00
2014,MDG,2541440.00,88800000.00
2014,MDV,39014013.21,0.00
2014,MEX,1506331814.45,2490535040.00
2014,MKD,118422612.80,0.00
2014,MLI,66452074.74,4423451.42
2014,MMR,1833630304.00,1389485192.24
2014,MNE,28336621.43,107165998.14
2014,MOZ,228203870.10,129255479.02
2014,MRT,128312187.09,105108920.27
2014,MWI,3161600.00,5800000.00
2014,NER,59705600.00,2517120.00
2014,NGA,145929655.09,0.00
2014,NIC,113662579.30,116847792.16
2014,NPL,115600160.00,1800000.00
2014,PAK,8416307332.15,2735364597.96
2014,PAN,210472404.96,344450000.00
2014,PER,1281501250.68,84262973.00
2014,PHL,7574608540.94,1115246530.00
2014,PNG,128051040.00,0.00
2014,POL,18597482.65,1478000000.00
2014,ROU,521317551.67,157130885.80
2014,RUS,0.00,0.00
2014,SDN,849528532.24,3185294375.30
2014,SEN,603686333.30,89060599.44
2014,SLE,0.00,0.00
2014,SLV,406582455.74,365296.00
2014,SOM,427482860.52,1123182409.60
2014,SRB,301939183.82,2028233716.14
2014,STP,1216000.00,19662720.00
2014,SUR,45361360.28,0.00
2014,SYC,51409146.73,26693694.29
2014,TCD,2659611.89,50884178.13
2014,TGO,0.00,7371122.87
2014,TJK,43270192.36,296169600.00
2014,TTO,1148449.64,136778040.07
2014,TUR,4262829958.29,3397182558.35
2014,TZA,273621382.09,17567360.00
2014,UKR,433802411.14,1003632990.00
2014,VCT,7514918.89,0.00
2014,VNM,12171593958.38,958696308.36
2014,WSM,25300000.00,0.00
2014,YEM,396398624.05,1146740603.37
2014,ZMB,43847059.07,0.00
2015,AFG,0.00,1204900000.00
2015,AGO,452409266.22,783216610.00
2015,ALB,488125609.34,25980082.81
2015,ARG,795253064.69,6728111476.02
2015,ATG,3600000.00,96433427.24
2015,BDI,0.00,0.00
2015,BEN,5218487.37,17628181.36
2015,BFA,122207492.37,3795.88
2015,BGR,194800816.00,112302515.00
2015,BIH,251179414.87,400741372.74
2015,BOL,101561219.30,1764549.00
2015,BRA,2111624202.12,686699467.64
2015,CAF,0.00,2221114.66
2015,CHL,99000294.51,0.00
2015,CIV,417572440.93,58692992.46
2015,CMR,373133772.72,14941411.31
2015,COD,20854714.18,62367258.64
2015,COG,26932589.95,251303628.21
2015,COM,131112.00,213144.38
2015,CPV,98829877.27,41900000.00
2015,CRI,217645722.00,0.00
2015,DJI,78296804.28,23486212.69
2015,DMA,31291329.18,10200000.00
2015,DOM,693384219.79,87420354.04
2015,DZA,588845257.50,3307760.49
2015,ECU,426353137.19,277234794.58
2015,EGY,7651072168.41,1150543360.16
2015,ETH,301978044.52,220645162.18
2015,FJI,7600000.00,0.00
2015,GAB,238989676.02,69948049.87
2015,GEO,394516132.00,88100194.00
2015,GHA,759936194.72,440920000.00
2015,GIN,38431753.85,213413203.60
2015,GMB,1495931.40,9177840.00
2015,GNB,10102149.99,90689878.00
2015,GNQ,0.00,18923376.44
2015,GRD,4464597.89,7167313.57
2015,GTM,196130176.80,356.20
2015,GUY,3914366.44,0.00
2015,HND,180414972.66,2074709.74
2015,HRV,25749065.40,0.00
2015,HTI,0.00,0.00
2015,IDN,18062071425.09,5607985311.92
2015,IRQ,1828556927.78,6280534380.13
2015,JAM,110207993.90,4194036.30
2015,JOR,1886863637.75,88402505.10
2015,KEN,2034909500.77,253888074.79
2015,KGZ,347243414.74,314064181.80
2015,KHM,878755674.06,1400050692.16
2015,KNA,1970000.00,0.00
2015,LBR,0.00,0.00
2015,LCA,5689392.04,0.00
2015,LKA,4269700696.33,199335838.00
2015,LSO,6697638.00,0.00
2015,MAR,4624736711.48,296650975.14
2015,MDA,92045418.00,74183480.00
2015,MDG,55733300.36,88800000.00
2015,MDV,41247532.41,0.00
2015,MEX,1228944200.24,2502816877.03
2015,MKD,106369595.72,0.00
2015,MLI,112240817.68,1064985.75
2015,MMR,1936350224.68,1246034916.48
2015,MNE,24437847.71,96025477.00
2015,MOZ,438038033.30,132169054.91
2015,MRT,123613530.80,94315537.55
2015,MWI,1715382.00,5800000.00
