iso,name_en_wb,wb_status,name_fr_csv,in_apd_dataset
CIV,Côte d'Ivoire,Member State,Côte d'Ivoire,True
CMR,Cameroon,Member State,Cameroun,True
COD,Democratic Republic of Congo,Member State,RD Congo,True
COG,Congo,Member State,Congo,True
COK,Cook Islands (N.Z.),Territory,,False
COL,Colombia,Member State,Colombie,True
COM,Comoros,Member State,Comores,True
CPV,Cabo Verde,Member State,Cap-Vert,True
CRI,Costa Rica,Member State,Costa Rica,True
CUB,Cuba,Non Member State,Cuba,True
CUW,Curaçao (Neth.),Territory,,False
CXR,Christmas Island (Aus.),Territory,,False
CYM,Cayman Islands (U.K.),Territory,,False
CYP,Cyprus,Member State,Chypre,True
CZE,Czech Republic,Member State,Rép. Tchèque,True
DEU,Germany,Member State,Allemagne,True
DJI,Djibouti,Member State,Djibouti,True
