iso,country,oda_usd,non_oda_usd,total_usd,type,country_profile
STP,São Tomé and Príncipe,960313.20,16360771.00,17321084.20,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/accords-signes-avec-le-club-de-p/par%20pays-debiteurs/sao-tome-et-principe.html
SUR,Suriname,26802702.60,45226529.68,72029232.28,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/accords-signes-avec-le-club-de-p/par%20pays-debiteurs/suriname.html
SVK,Slovak Republic,1000000.00,0.00,1000000.00,encours,
SWZ,Eswatini,20000000.00,1000000.00,21000000.00,encours,
SYC,Seychelles,22529616.97,10407881.22,32937498.19,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/accords-signes-avec-le-club-de-p/par%20pays-debiteurs/seychelles.html
SYR,Syrian Arab Republic,861000000.00,248000000.00,1109000000.00,encours,
TCD,Chad,98806566.73,15679987.11,114486553.84,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/accords-signes-avec-le-club-de-p/par%20pays-debiteurs/tchad.html
TGO,Togo,78440297.07,128332180.83,206772477.90,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/accords-signes-avec-le-club-de-p/par%20pays-debiteurs/togo.html
THA,Thailand,1796000000.00,111000000.00,1907000000.00,encours,
TJK,Tajikistan,35447209.34,292429127.51,327876336.85,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/accords-signes-avec-le-club-de-p/par%20pays-debiteurs/tadjikistan.html
TKM,Turkmenistan,4000000.00,926000000.00,930000000.00,encours,
TLS,Timor-Leste,23000000.00,0.00,23000000.00,encours,
TTO,Trinidad and Tobago,0.00,138676481.00,138676481.00,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/accords-signes-avec-le-club-de-p/par%20pays-debiteurs/trinite-et-tobago.html
TUN,Tunisia,3428000000.00,121000000.00,3549000000.00,encours,
TUR,Türkiye,3603853710.85,686697202.36,4290550913.21,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/accords-signes-avec-le-club-de-p/par%20pays-debiteurs/turquie.html
TZA,Tanzania,1211251062.35,368647454.99,1579898517.34,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/accords-signes-avec-le-club-de-p/par%20pays-debiteurs/tanzanie.html
UGA,Uganda,607000000.00,324000000.00,931000000.00,encours,https://clubdeparis.org/en/sites/clubdeparis/accueil/accords-signes-avec-le-club-de-p/par%20pays-debiteurs/ouganda.html
UKR,Ukraine,4750029245.90,4480813249.02,9230842494.92,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/accords-signes-avec-le-club-de-p/par%20pays-debiteurs/ukraine.html
URY,Uruguay,26000000.00,0.00,26000000.00,encours,
UZB,Uzbekistan,3631000000.00,1315000000.00,4946000000.00,encours,
VCT,Saint Vincent and the Grenadines,510000.00,2020000.00,2530000.00,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/accords-signes-avec-le-club-de-p/par%20pays-debiteurs/st-vincent.html
VEN,Republica Bolivariana de Venezuela,70000000.00,8621000000.00,8691000000.00,encours,
VNM,Viet Nam,12593029864.31,864581967.62,13457611831.93,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/accords-signes-avec-le-club-de-p/par%20pays-debiteurs/vietnam.html
VUT,Vanuatu,39000000.00,0.00,39000000.00,encours,
WSM,Samoa,17000000.00,0.00,17000000.00,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/accords-signes-avec-le-club-de-p/par%20pays-debiteurs/samoa.html
XKX,Kosovo,12000000.00,0.00,12000000.00,encours,
YEM,Republic of Yemen,417080486.26,1232898678.02,1649979164.28,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/accords-signes-avec-le-club-de-p/par%20pays-debiteurs/yemen.html
ZAF,South Africa,2190000000.00,141000000.00,2331000000.00,encours,
ZMB,Zambia,180305088.84,1507742187.02,1688047275.86,accord,https://clubdeparis.org/en/sites/clubdeparis/accueil/accords-signes-avec-le-club-de-p/par%20pays-debiteurs/zambie.html
ZWE,Zimbabwe,1007000000.00,772000000.00,1779000000.00,encours,
